Text (English)	Tetx (Hindi)
that's very nice	बहुत अच्छी बात है
that's wonderful	यह तो बहुत ही अच्छी बात है
this is awesome	यह कमाल का है
this is good	यह अच्छा है
this is great	यह भी खूब रही
very nice	बहुत अच्छा
very then	बहुत तब
wonderful	आश्चर्यजनक
I'm glad to hear that	मुझे वह सुनकर बेहद खुशी हुई
ok good	ठीक अच्छा
good for you	तुम्हारे के लिए अच्छा है
good to know	जानकर अच्छा लगा
glad to hear it	यह सुनकर खुश हुई
so good	कितना अच्छा
so sweet of you	आपकी बहुत आभारी हुँ
it was good	यह अच्छा था
oh well	ओह अच्छा
good thing	अची बात है
that was good	वह अच्छा था
it's awesome	यह विस्मयकारी है
okay good	ठीक है अच्छा
no it's okay	नहीं, सब ठीक है
that's fine	वह ठीक है
no worries	चिंता न करें
no probs	कोई जाँच नहीं
no problem	कोई बात नहीं
there's no problem	वहां कोई समस्या नहीं है
sure no problem	जरूर कोई बात नहीं
no problem about that	उसके बारे में कोई समस्या नहीं है
don't worry	चिंता मत करो
don't worry there's no problem	चिंता मत करो कोई समस्या नहीं है
you helped a lot thank you	आपने बहुत मदद की धन्यवाद
appreciate your help	आपकी सहायता की सराहना
cheers	प्रोत्साहित करना
thank you	धन्यवाद
thanks	धन्यवाद
thanks a lot	बहुत-बहुत धन्यवाद
terrific thank you	बहुत बढ़िया धन्यवाद
great thank you	महान धन्यवाद
thanks so much	बहुत - बहुत धन्यवाद
thank you so much	आपका बहुत-बहुत धन्यवाद
thanks for your help	आपकी सहायता के लिए धन्यवाद
thank you for your help	आपकी मदद के लिए आपको धन्यवाद
nice thank you	अच्छा आपका धन्यवाद
I appreciate it	मैं इसकी सराहना करता हूं
I thank you	मैं आपका धन्यवाद करता हूं
thank you that will be all	धन्यवाद वह सब होगा
thanks buddy	धन्यवाद दोस्त
thanks love	धन्यवाद प्रिय
thank you my friend	धन्यवाद मेरे दोस्त
well thanks	अच्छा धन्यवाद
very good thank you	बहुत अच्छा धन्यवाद
good thanks	अच्छा धन्यवाद
thanks again	एक बार फिर धन्यवाद
thank you again	फिर से धन्यवाद
all thank you	सभी धन्यवाद
alright thank you	ठीक है शुक्रिया
alright thanks	ठीक धन्यवाद
no thank you that's all	नहीं धन्यवाद, बस इतना ही
perfect thank you	सही धन्यवाद
so nice of you	बहुत अच्छी
well thank you	अच्छा आपको धन्यवाद
thnx	thnx
thanx	थेंक्स
that's my pleasure	मेरे लिए खुशी की बात है
my pleasure	मुझे खुशी हुई
anytime	किसी भी समय
welcome	स्वागत
you're welcome	आपका स्वागत है
sure welcome	ज़रूर स्वागत है
welcome here	यहाँ स्वागत है
you're so welcome	तुम्हारा बहूुत - बहुत स्वागत है
anything you want	कुछ भी जो आप चाहते हैं
good job	अच्छी नौकरी
great job	अच्छा काम
way to go	जाने के लिए रास्ता
well done	बहुत अच्छा
nice work	अच्छा काम
great work	महान काम
amazing work	अद्भुत कार्य
bravo	वाहवाही
good work	अच्छा काम
cancel	रद्द करना
abort	गर्भपात
annul	अन्त करना
cancel it	इसे रद्द करें
cancel request	अनुरोध को रद्द करें
cancelled	रद्द
dismiss	नकार देना
dismissed	ख़ारिज
disregard	अवहेलना
disregard that	उसकी उपेक्षा करो
skip	छोडना
skip it	इसे छोड़ दें
cancel everything	सब कुछ रद्द करो
cancel all	सब रद्द करो
forget about it	इसके बारे में भूल जाओ
forget	भूल जाओ
don't do that	ऐसा मत करो
stop	रुकना
just forget it	बस इसे भूल जाओ
forget that	भूल जाओ कि
discard	खारिज करना
forget this	इसे भूल जाइए
just forget about it	बस इसके बारे में भूल जाओ
forget about that	उस के बारे में भूल जाओ
i said cancel	मैंने कहा रद्द करो
just cancel it	बस इसे रद्द कर दो
nothing cancel	कुछ भी रद्द नहीं
just stop it	यह काम ना करें
no cancel cancel	रद्द नहीं रद्द करें
no just cancel	नहीं बस रद्द करें
cancel my request	मेरा अनुरोध रद्द करो
can you cancel that	क्या आप उसे रद्द कर सकते हैं
cancel all that	वह सब रद्द करो
cancel this request	इस अनुरोध को रद्द करें
no cancel this	नहीं इसे रद्द करें
no cancel everything	नहीं सब कुछ रद्द करो
no stop	कोई रोक नहिं
just forget	बस भूल जाओ
i want to cancel	मैं रद्द करना चाहता हूँ
nevermind forget about it	कोई बात नहीं इसके बारे में भूल जाओ
no just cancel it	नहीं, बस इसे रद्द कर दें
nothing just forget it	कुछ नहीं बस भूल जाओ
i said cancel it	मैंने कहा इसे रद्द करो
cancel the whole thing	पूरी बात रद्द करो
can you cancel it	क्या आप इसे रद्द कर सकते हैं
so cancel	इसलिए रद्द करें
i said forget it	मैंने कहा भूल जाओ
cancel all this	यह सब रद्द करो
forget it nevermind	इसे भूल जाओ कोई बात नहीं
stop it	इसे रोक
i want to cancel it	मैं इसे रद्द करना चाहता हूं
i would like to cancel	मैं रद्द करना चाहूंगा
now cancel	अब रद्द करो
cancel now	अभी रद्द करो
sorry cancel	क्षमा करें रद्द करें
cancel that one	उसे रद्द करो
skip skip skip	छोड़ें छोड़ें छोड़ें
cancel it cancel it	इसे रद्द करो इसे रद्द करो
cancel that cancel that	रद्द करो कि रद्द करो
do nothing	कुछ भी नहीं है
I said cancel cancel	मैंने कहा रद्द रद्द करो
but can you cancel it	लेकिन क्या आप इसे रद्द कर सकते हैं
how about no	नहीं
don t have a sense	समझ नहीं है
no	नहीं
don't	नहीं
I don't want that	मुझे वह नहीं चाहिए
I disagree	मैं असहमत हूं
disagree	असहमत
I don't want	मुझे नहीं चाहिए
not interested	रुचि नहीं
I don't think so	मुझे ऐसा नहीं लगता
no way	बिलकुल नहीं
no it isn't	नहीं, यह नहीं है
no I don't	नहीं, मैं नहीं करता
I'm not	मैं नहीं
na	ना
no that's fine thank you	नहीं यह ठीक है धन्यवाद
never	कभी नहीँ
I said no	मैंने कहा नहीं
of course not	बिल्कुल नहीं
nah	नः
no tanks	नहीं शुक्रिया
no never	नहीं, कभी नहीं
no need	कोई ज़रुरत नहीं है
no thanks	जी नहीं, धन्यवाद
no sorry	कोई खेद नहीं
do not	ऐसा न करें
not today	आज नहीं
no it's not	नहीं यह नहीं
absolutely not	कदापि नहीं
not that	नहीं कि
nooo	नहीं
nope	नहीं
I don't want to	मैं नहीं चाहता
no I would not	नहीं मैं नहीं
let 's not	नहीं जाने
not needed	जरूरत नहीं
not this time	इस बार नही
no don't do that	नहीं, ऐसा मत करो
thanks but no thanks	धन्यवाद, लेकिन इसकी कोई ज़रूरत नहीं
no that's wrong	नहीं वो गलत है
not this	यह नहीं
definitely not	निश्चित रूप से नहीं
not at this time	इस समय पर नही
not exactly	बिल्कुल नहीं
no don't	नहीं नहीं
not really no	नहीं वास्तव में कोई नहीं
no thank you not right now	नहीं धन्यवाद अभी नहीं
actually no	वास्तव में नही
no leave it	नहीं छोड़ो
sorry no	नहीं, माफ करिए
no incorrect	कोई गलत नहीं
nope sorry	नहीं, क्षमा करें
I say no	मैं कहता हूँ नहीं
not really	ज़रूरी नहीं
not right now thanks	अभी नहीं धन्यवाद
I think no	मुझे नहीं लगता
absolutely no	बिल्कुल नहीं
no actually	नहीं वास्तव मे
apparently not	स्पष्ट रूप से नहीं
no do not	नहीं
no just no	नहीं, बस नहीं
no but thank you	नहीं, लेकिन धन्यवाद
no need thanks	कोई जरूरत नहीं, धन्यवाद
no thank you though	नहीं धन्यवाद हालांकि
no thank you very much	नहीं, बहुत-बहुत धन्यवाद
no thanks not right now	नहीं धन्यवाद अभी नहीं
no forget	भूलना नहीं है
wait a second	एक सेकंड रुको
could you wait	क्या आप प्रतीक्षा कर सकते हैं
wait please	कृपया प्रतीक्षा करें
hold on	पकड़ना
wait	इंतज़ार
oh wait	अरे रुको
wait hold on	प्रतीक्षा करें ठहरें
don't rush	जल्दी मत करो
wanna hug	झप्पी चाहता हूं
hug you	आपको गले लगाना
do you want a hug	क्या आप आलिंगन चाहते हो
may I hug you	क्या मैं आपके गले लग जाऊं
could you give me a hug	क्या आप मुझे गले लगा सकते हैं
I want a hug	मैं आलिंगन करना चाहता हुँ
hug	आलिंगन
hug me	मुझे गले लगाओ
hugged	गले लगाया
you hugged	तुमने गले लगाया
hugging	गले
hugging me	मेरा आलिंगन
hugged me	मुझे गले लगाया
want a hug	झप्पी चाहिए
a hug	गले लगना
I don't care	मुझे परवाह नहीं है
I shouldn't care about this	मुझे इसकी परवाह नहीं करनी चाहिए
whatever	जो कुछ भी
I do not care	मुझे फ़रक नहीं पडता
I don't care at all	मुझे बिल्कुल परवाह नहीं है
not caring	देखभाल नहीं कर रहा
not care at all	बिलकुल परवाह नहीं
don't care at all	बिल्कुल परवाह मत करो
not caring at all	बिल्कुल परवाह नहीं
excuse me	माफ़ करें
apologise	क्षमा माँगना
I apologize	मैं क्षमाप्रार्थी हूं
sorry	क्षमा मांगना
I'm sorry	मुझे क्षमा करें
I am so sorry	मुझे माफ़ कीजिए
my apologies	मैं क्षमाप्रार्थी हूं
apologies	क्षमा याचना
apologies to me	मुझे खेद है
apology	क्षमायाचना
excuse	क्षमा
I beg your pardon	माफ़ कीजिए
pardon	क्षमा
I said sorry	मै कहा माफ करो
I am really sorry	मुझे सच में खेद है
forgive me	क्षमा चाहता हूँ
sorry about that	इसके बारे में खेद
sorry about this	इस बारे में खेद है
really sorry	वास्तव में खेद
very sorry	बहुत खेद है
ok sorry	ठीक है माफ़ कर दो
I want to say sorry	मैं सॉरी कहना चाहता हूं
alright I'm sorry	ठीक है, मुझे खेद है
okay I'm sorry	ठीक है, मैं माफी चाहता हूँ
what exactly do you mean	आपका सही सही क्या मतलब है
what do you mean	आपका क्या मतलब है
is that what you mean	क्या यह वही चीज है
what do you mean exactly	आपका वास्तव में क्या तात्पर्य है
but what do you mean	लेकिन तुम्हारा क्या मतलब है
that was wrong	वह गलत था
that's not what I asked	मैंने यही नहीं पूछा
that's wrong	यह गलत है
wrong	गलत
it is not right	यह सही नहीं है
that's not right	यह सही नहीं है
it's wrong	यह गलत है
that is incorrect	यह गलत है
incorrect	गलत
not correct	सही नहीं
you are wrong	आप गलत बोल रही हे
not right	सही नहीं
huh	हुह
lol	ज़ोर-ज़ोर से हंसना
xd	एक्सडी
ha ha	हा हा
ahahah	आह आह आह
ahah lol	अहह हाहाहा
laughing out loud	जोर से हंसना
LMAO	एलएमएओ
that's funny	अजीब बात है
ah	एएच
ah ah ah	आह आह आह
ahah	आह आह
ahaha	अहाहा
ahahaha	अहाहाहा
ha	हा
ha ha ha	हा हा हा
ha ha ha ha	हा हा हा हा
hah	हा
haha	हाहा
haha funny	हास्यास्पद
haha haha haha	हा हा हा हा हा हा
haha that's funny	हा हा, हास्यास्पद है
haha very funny	हा हा बहुत मज़ाकिया
hahaha	हाहाहा
hahaha funny	हाहाहा अजीब
hahaha very funny	हा हा हा बहुत अजीब बात है
he	वह
hehe	हेहे
hehehe	हेहेहे
lmao	लामाओ
wow	बहुत खूब
wow wow	वाह वाह
wow wow wow	वाह वाह वाह
wooow	वाह
woah	ओह
okay see you later	ठीक है बाद में आपसे मिलेंगे
hope to see you later	उम्मीद है कि आपसे फिर मुलाक़ात होगी
bye for now	अभी के लिए बाय
till next time	अगली बार तक
I must go	मुझे जाना चाहिए
bye	अलविदा
goodbye	अलविदा
see you	फिर मिलते हैं
see you soon	जल्द ही फिर मिलेंगे
bye-bye	अलविदा
good bye	अलविदा
bye bye see you	अलविदा अलविदा फिर मिलेंगे
bye bye see you soon	अलविदा अलविदा जल्द ही मिलते हैं
bye bye take care	अलविदा अलविदा ख्याल रखना
I said bye	मैंने कहा बाय
never mind bye	चिंता मत करो विदा
now bye	अब अलविदा
that's all goodbye	वह सब अलविदा है
that's it goodbye	यह अलविदा है
leave me alone	मुझे अकेला छोड़ दो
go to bed	सोने जाओ
goodbye for now	अब के लिए अलविदा
talk to you later	बाद में बात
you can go now	आप अब जा सकते हैं
get lost	भाड़ में जाओ
goodbye see you later	अलविदा बाद में आप मिलूंगा
alright bye	ठीक है अलविदा
see ya	फिर मिलेंगे
thanks bye bye	धन्यवाद अलविदा
okay bye	ठीक है अलविदा
okay thank you bye	ठीक है धन्यवाद अलविदा
see you tomorrow	कल मिलते हैं
ok bye	चलो बाय
good evening	नमस्ते
good evening to you	अच्छा शाम आप के लिए
hey good evening	अरे शुभ संध्या
hello good evening	हैलो गुड इवनिंग
evening	शाम
good evening there	वहाँ शुभ संध्या
good morning	शुभ प्रभात
good morning to you	आपको सुप्रभात
hello good morning	हैलो सुप्रभात
have a nice morning	आपकी सुबह अच्छी हो
have a great morning	आपकी सुबह अच्छी हो
morning	सुबह
good morning there	वहाँ सुप्रभात
top of the morning to you	तुम्हारे लिए सुबह अत्यंत शुभ हो
a good morning	एक सुप्रभात
hi good morning	हाय सुप्रभात
and a good morning to you	और आपको शुभ प्रभात
good morning too	गुड मॉर्निंग आपको भी
sweet dreams	मीठी नींद आए
good night	शुभ रात्रि
have a good night	तुम्हारी रात अच्छी बीते
good night to you	आप के लिए अच्छा रात
thank you good night	आपको धन्यवाद और शुभ रात्रि
 bye good night	  अलविदा शुभ रात्रि
good night bye	शुभरात्रि अलविदा
bye good night	अलविदा शुभ रात्रि
good good night	शुभ रात्रि
good night for now	अभी के लिए शुभ रात्रि
goodnight	शुभ रात्रि
night	रात
thanks goodnight	धन्यवाद शुभ रात्रि
good night see you tomorrow	शुभ रात्रि अच्छा कल मिलते हैं
alright goodnight	सभी ठीक शुभरात्रि
good tonight	अच्छा आज रात
okay have a good night	ठीक है शुभ रात्रि
have a good night	तुम्हारी रात अच्छी बीते
long time no see	बहुत दिनों से मुलाकात नहीं हुई
hello	नमस्ते
hi	नमस्ते
howdy	कैसे हो
hey there	सुनो
hey	अरे
greetings	अभिवादन
I greet you	मैं तुम्हे बधाई देता हुँ
hi there	नमस्ते
hello there	नमस्ते
lovely day isn't it	प्यारा दिन है ना
hello again	फिर से हैलो
just going to say hi	बस हाय कहने जा रहा हूँ
a good day	एक अच्छा दिन
afternoon	दोपहर
hello hi	हैलो हाय
heya	हेया
how is your morning so far	आपकी अब तक की सुबह कैसी रही है
how are you getting on	आप कैसे आगे बढ़ रहे हैं
how's your day going	आपका दिन कैसा चल रहा है
how are you	आप कैसे हैं
is everything all right	क्या सब कुछ ठीक है
how are you doing	आप कैसे हैं
how are the things going	चीजें कैसी चल रही हैं
are you alright	क्या आप ठीक हो
are you okay	आप ठीक है न
how are you feeling	तुम कैसा महसूस कर रहे हो
how are you going	कैसा चल रहा हैं आपका
is everything okay	क्या सबकुछ ठीक है
how are you today	आज आप कैसे हैं
how do you do	आप कैसे हैं
how do you feel	आपको कैसा लगता है
how have you been	क्या आप
how is it	कैसा है
how is it going	कैसा चल रहा है
how is your day	आप दिन कैसा बीत रहा है
how is your day going	आपका दिन कैसा चल रहा है
how is your evening	आपकी शाम कैसी है
how was your day	आपका दिन कैसा रहा
are you having a good day	क्या आपका दिन अच्छा जा रहा है
hope your day is going well	आशा है कि आपका दिन अच्छा जा रहा है
hope you re having a pleasant evening	आशा है कि आपकी शाम सुखद रही होगी
how's life	जिंदगी केसी
I'm fine and you	मैं ठीक हूं तुम कैसे हो
how is your life	आपका जीवन कैसे चल रहा है
how has your day been	आपका दिन कैसा बीता
how is your morning going	आपकी सुबह कैसी चल रही है
how has your day been going	आपका दिन कैसा चल रहा है
how about you	आप कैसे हैं
how is your day being	आपका दिन कैसा चल रहा है
how is your day going on	आपका दिन कैसा चल रहा है
how your day is going	आपका दिन कैसा चल रहा है
what was your day like	आपका दिन कैसा रहा
what about your day	आपका दिन कैसा था
how's your day	आपका दिन कैैसा रहा
how are you doing this morning	इस सुबह आप क्या कर रहे हैं
how is your day going	आपका दिन कैसा चल रहा है
nice to meet you	आपसे मिलकर अच्छा लगा
it was nice meeting you	आपसे मिल कर अच्छा लगा
it was very nice to meet you	तुमसे मिलकर बहुत अच्छा लगा था
good to know each other	एक दूसरे को जानकर अच्छा लगा
glad to meet you	आपसे मिलकर खुशी हुई
nice meeting you	आपसे मिलन अच्छा रहा
nice to meet you too	आपसे मिलकर भी अच्छा लगा
pleased to meet you	आपसे मिलकर खुशी हुई
pleasure to meet you	आपसे मिल कर अच्छा लगा
pleasure to meet you too	आपसे मिलकर खुशी भी हुई
it's nice to see you	आपको देख के अच्छा लगा
lovely to see you	आपको देखकर अच्छा लगा
I'm glad to see you	मैं तुम्हें देख कर खुश हूँ
great to see you	तुमसे मिलकर बहुत अच्छा लगा
it's good to see you	आपको देखकर अच्छा लगा
glad to see you	आपको देख के खुशी हुई
how good it is to see you	आपको देखकर कितना अच्छा लगा
always a pleasure to see you	आपको देखकर हमेशा खुशी होती है
nice to see you	आपसे मिलकर अच्छा लगा
good to see you	आपको देख कर खुशी हुई
great to see you again	तुम्हें फिरसे देखकर अच्छे लगा
great to see you too	आपको देखकर भी अच्छा लगा
I am glad to see you again	मुझे तुमको दुबारा देखकर खुशी हुई
nice to see you again	आप को दुबारा देखकर अच्छा लगा
glad to see you too	आपको देखकर खुशी भी हुई
good to see you again	आपसे दोबारा मिलना अच्छा लगा
it's good to see you too	आपको देखकर भी अच्छा लगा
it's been so nice to talk to you	आपसे बात करके बहुत अच्छा लगा
it's been a pleasure talking to you	आपसे बात करके खुशी हुई
nice to talk to you	आपसे बात करके अच्छा लगा
it's nice to talk to you	आपसे बात करके अच्छा लगा
nice talking to you	आपसे बात करके अच्छा लगा
it is nice talking to you	आपसे बात करके अच्छा लगा
how nice it is to talk to you	आपसे बात करना कितना अच्छा है
what is on your mind	तुम्हारे दिमाग में क्या चल रहा है
what's happened	क्या हुआ है
what is up	क्या चल रहा है
what's up	क्या चल रहा है
whazzup	whazzup
good what's up	अच्छा क्या हुआ
I said what's up	मैंने कहा क्या हाल है
then what's up	तो क्या हो रहा है
what's shaking	क्या हिल रहा है
wassup	क्या चल रहा है
what is going on	क्या चल र
what is happening	क्या हो रहा हिया
what's cracking	क्या टूट रहा है
what's cooking	क्या पकाया जा रहा है
hey what's up	क्या चल रहा है
what's up today	आज क्या है
I'm being mad	मैं पागल हो रहा हूँ
I'm enraged	मैं गुस्से में हूँ
I'm angry	मैं नाराज़ हूँ
I'm furious	मैं गुस्से में हूं
I am angry with you	मैं तुमसे नाराज़ हूं
I am mad	मै पागल हूँ
I am mad at you	मै आपके लिए पागल हूँ
I am back	मैं वापस आ गया हूँ!
I'm here again	लो मैं फिर आ गया
here I am again	फिर से मैं यहाँ हूँ
I got back	मुझे वापस मिला
I came back	मैं वापस आया
I have returned	मैं वापस आ गया
that was boring	वह उबाऊ था
I'm bored	मैं ऊब गया हूं
bored	ऊबा हुआ
boring	उबाऊ
I am getting bored	मुझे ऊब हो रही है
this is boring	यह उबाऊ है
very boring	बहुत उबाऊ
it bores me	बेमजा है
I'm overloaded	मैं अतिभारित हूं
I have no time	मेरे पास बिल्कुल समय नही है
I'm busy	मैं व्यस्त हूं
I'm swamped	मैं अभिभूत हूँ
I got things to do	मेरे पास करने के लिए चीज़ें हैं
how busy I am	मैं कितना व्यस्त हूं
I got work to do	मेरे पास करने के लिए काम है
I'm working	मैं काम कर रहा हूं
I don't have time for this	मेरे पास इसके लिए समय नहीं है
I'm insomnious	मुझे नींद नहीं आ रही है
I'm sleepless	मुझे नींद नहीं आ रही है
I can't get any sleep	मुझे नींद नहीं आ रही है
I can't sleep	मैं सो नहीं सकता
I can't fall asleep	मैं सो नहीं सकता
I can't get to sleep	मुझे नींद नहीं आ रही है
I can't get no sleep	मुझे नींद नहीं आ रही है
I'm insomniac	मुझे अनिद्रा है
bad time for talking	बात करने का बुरा समय
I don't want to talk	मैं बात नहीं करना चाहता
let's not talk	चलो बात नहीं करते
I'm not talking to you anymore	मैं अब तुमसे बात नहीं कर रहा हूँ
I don't want to talk to you	मैं तुमसे बात नहीं करना चाहता
let's stop talking for a minute	चलिए एक मिनट के लिए बात करना बंद करते हैं
I'm not in the mood for chatting	मैं चैट करने के मूड में नहीं हूं
I am excited	मैं उत्साहित हूं
I'm really excited	मैं बहुत उत्साहित हूं
how excited I am	मैं कितना उत्साहित हूं
I'm thrilled	मैं रोमांचित हूं
I'm excited about working with you	मैं आपके साथ काम करने को लेकर उत्साहित हूं
I'm excited to start our friendship	मैं हमारी दोस्ती शुरू करने के लिए उत्साहित हूं
let's go to bed	चलो बिस्तर पर चले
I'd like to go to bed	मैं बिस्तर पर जाना चाहता हूँ
is it time for bed yet	क्या अभी सोने का समय हो गया है
it's time to go to bed	यह बिस्तर पर जाने का समय है
time for us to go to bed	हमारे लिए बिस्तर पर जाने का समय
I'm going to bed	मैं सोने जा रहा हूँ
I'm a little tired and I want to go to bed	मैं थोड़ा थक गया हूँ और मैं बिस्तर पर जाना चाहता हूँ
it's bed time	यह सोने का समय है
going to bed now	सोने जा रहा हूं
I am good	टीक हनु
I'm doing just great	मैं बहुत अच्छा कर रहा हूँ
I'm doing fine	मैं ठीक कर रहा हूँ
I'm good	मैं ठीक हूँ
I'm doing good	मैं अच्छा हूँ
I'm great thanks	धन्यवाद, में ठीक हु
I am happy	मैं खुश हूं
I'm happy to see you	मैं तुमसे मिलकर खुश हूं
happy	खुश
if you're happy then I'm happy	अगर आप खुश हैं तो मैं खुश हूं
I'm happy for you	मैं आपके लिए खुश हूँ
I'm happy to help	मुझे मदद करने में खुशी हो रही है
I'm happy to see you	मैं तुमसे मिलकर खुश हूं
it is my birthday	यह मेरा जन्मदिन है
I'm celebrating my birthday today	मैं आज अपना जन्मदिन मना रहा हूं
today is my birthday	आज मेरा जन्मदिन हे
it's my birthday today	आज मेरा जन्मदिवस है
I was born today	मैं आज पैदा हुआ था
it's my b-day	यह मेरा जन्मदिन है
I am here	मैं यहां हूं
here I am	मैं यहां हूं
I'm right here	मैं बिल्कुल यहाँ हूँ
I'm already here	मैं पहले से ही यहाँ हूँ
can you tell if I'm here or not	क्या आप बता सकते हैं कि मैं यहां हूं या नहीं
I am joking	मैं मज़ाक कर रहा हूँ
I'm kidding	मैं मजाक कर रहा हूं
I'm just being funny	मैं बस मज़ाक कर रहा हूँ
it was a joke	यह एक मजाक था
I was just joking	मैंने मज़ाक किया था
it's a joke	यह एक मज़ाक है
joking	मजाक कर रहा है
just kidding	मजाक था
kidding	मज़ाक करना
I'm just playing with you	मैं सिर्फ तुम्हारे साथ खेल रहा हूँ
I like you the way you are	तुम जैसे भी हो मुझे पसंद हो
I like you	मुझे आप पसंद हो
I like you a lot	मैं आपको बहुत पसंद करता हूं
I think I like you	मुझे लगता है कि मैं तुम्हे पसंद करता हूं
I liked you	मैंने तुम्हें चाहा
like you a lot	तुम्हें बहुत पसंद करना
you are special	आप खास हैं
I like you too	मैं चाहता हूं कि आप
I really like you	मैं आपको सचमुच पसंद करता हूं
but I like you	लेकिन मैं आपको पसंद करता हूँ
I like u	मैं आपको पसंद करता हूं
just like you	बस आप की तरह
I like you very much	आप मुझे बहुत पसंद
I like you so much	मैं तुम्हें इतना पसंद करता हूूं
yeah I like you	हाँ मैं तुम्हें पसंद करता हूँ
you're special	तुम खास हो
yes I like you	हां, मैं तुम्हें चाहता हूं
okay I like you	ठीक है मैं तुम्हें पसंद करता हूँ
you are special to me	तुम मेरे लिए खास हो
you are very special	आप बहुत अज़ीज़ हैं
you are so sweet	आप बहुत प्यारे हैं
you know I like you	तुम्हें पता है मै तुम्हें पसंद करता हूँ
that's why I like you	इसी वजह से मैं तुम्हें पसंद करता हूँ
I like you baby	बेबी मैं तुम्हें पसंद करता हूं
you are very special to me	तुम मेरे लिए बहुत खास हो
I just like you	मैं बिल्कुल आपकी तरह हूं
hey I like you	सुनो मैं तुम्हें पसंद करता हूँ
thank you I like you too	धन्यवाद मैं भी आपको पसंद करता हूँ
I do like you	मुझे तुम पसंद हो
you are special for me	आप मेरे लिए खास है
no I like you the way you are	नहीं, मैं तुम्हें वैसे ही पसंद करता हूँ जैसे तुम हो
I like you already	मैं तुम्हे पहले से ही पसंद करता हूँ
well you are special	अच्छा तुम खास हो
but I really like you	लेकिन मैं सचमुच तुमको पसंद करता हूं
I like you more	मुझे तुम बहुत ज्यादा पसंद हो
that's what I like about you	मुझे तुम्हारे बारे में यही पसंद है
you are so special	आप बहुत खास है
hi I like you	हाय, मैं तुम्हें पसंद करता हूं
I really really like you	मैं वास्तव में सच में आपको पसंद करता हूँ
you're very special	तुम बहुत खास हो
I like you as a friend	मैं आप को एक मित्र की तरह पसंद करता हूं
that's because you are special	ऐसा इसलिए है क्योंकि आप खास हैं
I said I like you	मैंने कहा कि मुझे आप पसंद हो
you're so special	तुम बहुत विशेष हो
good I like you	अच्छा मैं तुम्हें पसंद करता हूँ
yes you are special	हाँ तुम खास हो
I like your smile	मैं अपनी मुस्कान पसंद करता हूं
I like you as you are	मुझे आप पसंद हैं क्योंकि आप
I'm starting to like you	मैं तुम्हें पसंद करने लगा हूं
you're awesome I like you	तुम कमाल हो मैं तुम्हें पसंद करता हूँ
I also like you	मैं भी आपको प्यार करता हूं
but I like u	लेकिन मैं तुम्हें पसंद करता हूं
of course I like you	यकीनन, मैं आपको पसंद करता हूँ
I like you too you're one of my favorite people to chat with	मैं भी आपको पसंद करता हूं, चैट करने के लिए आप मेरे पसंदीदा लोगों में से एक हैं
but I like you so much	लेकिन मैं आपको इतना पसंद करता हूं
really like you	मैं वास्तव में आपको चाहता हूँ
you're funny I like you	तुम मजाकिया हो मैं तुम्हें पसंद करता हूं
I kinda like you	मैं कुछ आप ही की तरह हूँ
you're so special to me	तुम मेरे लिए बहुत खास हो
you're very special to me	तुम मेरे लिए बहुत खास हो
I like that about you	मुझे तुम्हारे बारे में यह पसंद है
but I like you just the way you are	लेकिन मैं तुम्हें वैसे ही पसंद करता हूं जैसे तुम हो
okay I like you too	ठीक है मैं भी तुम्हें पसंद करता हूँ
I like you you're cool	मुझे तुम पसंद हो तुम मस्त हो
I like you very	मैं तुम्हें बहुत पसंद करता हूँ
I like you you're nice	मुझे तुम पसंद हो तुम अच्छे हो
sorry I like you	क्षमा करें मैं आपको पसंद करता हूं
thanks I like you too	धन्यवाद मैं भी आपको पसंद करता हूँ
you are really special	तुम सच में खास हो
you are so special to me	तुम मेरे लिए बहुत विशिष्ट हो
cuz I like you	क्योंकि मैं तुम्हें पसंद करता हूँ
I like you now	मैं अब तुम्हें पसंद करता हूं
I like you so	तुम जैसे हो, मुझे पसंद हो
I like you too much	मैं तुम्हें बहुत पसंद करता हूँ
I really do like you	मैं वास्तव में तुम्हें पसंद करता हूँ
I really really really really like you	मैं वास्तव में वास्तव में वास्तव में आपको पसंद करता हूं
I like you just the way you are	मैं तुम्हें वैसे ही पसंद करता हूं जैसे तुम हो
I am lonely	मैं अकेला हूँ
I'm very lonely	मैं बहुत अकेला हूँ
I'm so lonely	मैं बहुत अकेला हूँ
I'm really lonely	मैं वास्तव में अकेला हूँ
I am feeling lonely	मैं अकेला महसूस कर रहा हूँ
I feel lonely	मैं अकेलापन महसूस कर रहा हूँ
what do I look like	मेरी दिखावट कैसी है
how do I look	मैं कैसा दिखता हूँ
do I look good	क्या में अच्छा दिखता हूँ
do you know what I look like	क्या आप जानते हैं कि मैं कैसा दिखता हूं
can you see what I look like	क्या आप देख सकते हैं कि मैं कैसा दिखता हूं
what do you think I look like	आपको क्या लगता है कि मैं कैसा दिखता हूं
I love you	मुझे तुमसे प्यार है
love you	तुमसे प्यार है
I adore you	मैं तुम्हें बहुत पसंद करता हूं
I am in love with you	मैं आप के प्यार में हूँ
I love you so much	मैं आपसे बहुत प्यार है
I love you too	मैं भी आपसे प्यार करता हूँ
I think I love you	मुझे लगता है मैं आपसे प्यार करता हूँ
loving you	आपको प्यार
you know I love you	आप जानते है मैं आपको प्यार करता हूँ
I miss you	आपकी याद आ रही है
missing you	आपकी याद आ
